"Year","State","Race","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Iowa","White","Females","145","1,456,094","9.96","10.52","4,190"
"2020","Iowa","Black","Males","20","82,951","24.11","26.96","661"
"2020","Iowa","Black","Females","11","73,668","14.93","17.49","390"
"2020","Iowa","American Indian / Alaska Native","Males","0","9,905","0","0","0"
"2020","Iowa","American Indian / Alaska Native","Females","0","9,996","0","0","0"
"2020","Iowa","Asian / Pacific Islander","Males","0","49,625","0","0","0"
"2020","Iowa","Asian / Pacific Islander","Females","0","48,108","0","0","0"
"2020","Kansas","White","Males","269","1,269,103","21.20","21.44","9,243"
"2020","Kansas","White","Females","152","1,285,294","11.83","12.81","4,724"
"2020","Kansas","Black","Males","30","108,865","27.56","29.18","971"
"2020","Kansas","Black","Females","19","101,630","18.70","22.45","670"
"2020","Kansas","American Indian / Alaska Native","Males","10","22,029","45.40","47.00","310"
"2020","Kansas","American Indian / Alaska Native","Females","0","21,745","0","0","0"
"2020","Kansas","Asian / Pacific Islander","Males","0","51,543","0","0","0"
"2020","Kansas","Asian / Pacific Islander","Females","0","53,596","0","0","0"
"2020","Kentucky","White","Males","1,311","1,949,441","67.25","71.06","43,548"
"2020","Kentucky","White","Females","587","2,013,572","29.15","30.78","18,386"
"2020","Kentucky","Black","Males","125","206,629","60.50","65.12","4,078"
"2020","Kentucky","Black","Females","55","207,347","26.53","28.34","2,044"
"2020","Kentucky","American Indian / Alaska Native","Males","0","7,518","0","0","0"
"2020","Kentucky","American Indian / Alaska Native","Females","0","6,992","0","0","0"
"2020","Kentucky","Asian / Pacific Islander","Males","0","41,757","0","0","0"
"2020","Kentucky","Asian / Pacific Islander","Females","0","43,995","0","0","0"
"2020","Louisiana","White","Males","860","1,456,076","59.06","60.87","28,441"
"2020","Louisiana","White","Females","456","1,490,217","30.60","32.18","14,406"
"2020","Louisiana","Black","Males","431","740,012","58.24","64.42","13,512"
"2020","Louisiana","Black","Females","133","821,133","16.20","17.95","4,794"
"2020","Louisiana","American Indian / Alaska Native","Males","0","20,176","0","0","0"
"2020","Louisiana","American Indian / Alaska Native","Females","0","20,558","0","0","0"
"2020","Louisiana","Asian / Pacific Islander","Males","0","47,896","0","0","0"
"2020","Louisiana","Asian / Pacific Islander","Females","0","49,250","0","0","0"
"2020","Maine","White","Males","326","630,827","51.68","56.02","10,585"
"2020","Maine","White","Females","144","658,785","21.86","23.36","4,282"
"2020","Maine","Black","Males","13","15,783","82.37","80.92","520"
"2020","Maine","Black","Females","0","13,111","0","0","0"
"2020","Maine","American Indian / Alaska Native","Males","0","5,683","0","0","0"
"2020","Maine","American Indian / Alaska Native","Females","0","5,854","0","0","0"
"2020","Maine","Asian / Pacific Islander","Males","0","9,008","0","0","0"
"2020","Maine","Asian / Pacific Islander","Females","0","11,090","0","0","0"
"2020","Maryland","White","Males","1,139","1,776,115","64.13","65.82","37,891"
"2020","Maryland","White","Females","524","1,819,653","28.80","30.37","17,180"
"2020","Maryland","Black","Males","815","918,240","88.76","82.32","21,220"
"2020","Maryland","Black","Females","261","1,045,120","24.97","22.75","7,122"
"2020","Maryland","American Indian / Alaska Native","Males","0","22,574","0","0","0"
"2020","Maryland","American Indian / Alaska Native","Females","0","22,041","0","0","0"
"2020","Maryland","Asian / Pacific Islander","Males","16","215,645","7.42","7.44","598"
"2020","Maryland","Asian / Pacific Islander","Females","0","236,414","0","0","0"
"2020","Massachusetts","White","Males","1,426","2,729,173","52.25","53.45","46,150"
"2020","Massachusetts","White","Females","587","2,890,431","20.31","21.20","18,642"
"2020","Massachusetts","Black","Males","198","335,855","58.95","60.61","5,610"
"2020","Massachusetts","Black","Females","61","353,507","17.26","17.19","1,994"
"2020","Massachusetts","American Indian / Alaska Native","Males","0","21,436","0","0","0"
"2020","Massachusetts","American Indian / Alaska Native","Females","0","21,073","0","0","0"
"2020","Massachusetts","Asian / Pacific Islander","Males","19","260,568","7.29","6.64","759"
"2020","Massachusetts","Asian / Pacific Islander","Females","0","281,531","0","0","0"
"2020","Michigan","White","Males","1,383","3,966,210","34.87","36.82","45,879"
"2020","Michigan","White","Females","684","4,038,179","16.94","18.26","21,693"
"2020","Michigan","Black","Males","448","713,285","62.81","65.49","11,604"
"2020","Michigan","Black","Females","209","786,697","26.57","26.52","6,259"
"2020","Michigan","American Indian / Alaska Native","Males","13","45,446","28.61","32.60","401"
"2020","Michigan","American Indian / Alaska Native","Females","0","47,354","0","0","0"
"2020","Michigan","Asian / Pacific Islander","Males","0","182,872","0","0","0"
"2020","Michigan","Asian / Pacific Islander","Females","0","186,512","0","0","0"
"2020","Minnesota","White","Males","496","2,383,141","20.81","21.07","17,145"
"2020","Minnesota","White","Females","243","2,406,507","10.10","10.34","7,540"
"2020","Minnesota","Black","Males","138","232,876","59.26","66.61","4,615"
"2020","Minnesota","Black","Females","57","223,184","25.54","29.23","2,019"
"2020","Minnesota","American Indian / Alaska Native","Males","52","44,504","116.84","135.14","1,878"
"2020","Minnesota","American Indian / Alaska Native","Females","54","44,626","121.01","133.84","2,121"
"2020","Minnesota","Asian / Pacific Islander","Males","0","158,073","0","0","0"
"2020","Minnesota","Asian / Pacific Islander","Females","0","164,431","0","0","0"
"2020","Mississippi","White","Males","303","872,097","34.74","37.70","10,258"
"2020","Mississippi","White","Females","163","895,905","18.19","19.53","5,001"
"2020","Mississippi","Black","Males","77","536,009","14.37","15.53","2,688"
"2020","Mississippi","Black","Females","38","605,274","6.28","6.53","1,330"
"2020","Mississippi","American Indian / Alaska Native","Males","0","9,734","0","0","0"
"2020","Mississippi","American Indian / Alaska Native","Females","0","9,827","0","0","0"
"2020","Mississippi","Asian / Pacific Islander","Males","0","17,975","0","0","0"
"2020","Mississippi","Asian / Pacific Islander","Females","0","19,965","0","0","0"
"2020","Missouri","White","Males","895","2,546,303","35.15","36.84","31,454"
"2020","Missouri","White","Females","464","2,620,984","17.70","18.76","15,410"
"2020","Missouri","Black","Males","365","370,530","98.51","109.42","11,500"
"2020","Missouri","Black","Females","137","406,240","33.72","34.14","4,826"
"2020","Missouri","American Indian / Alaska Native","Males","0","23,199","0","0","0"
"2020","Missouri","American Indian / Alaska Native","Females","0","23,054","0","0","0"
"2020","Missouri","Asian / Pacific Islander","Males","0","77,691","0","0","0"
"2020","Missouri","Asian / Pacific Islander","Females","0","83,547","0","0","0"
"2020","Montana","White","Males","93","493,337","18.85","19.03","2,808"
"2020","Montana","White","Females","40","484,782","8.25","8.55","1,138"
"2020","Montana","Black","Males","0","6,358","0","0","0"
"2020","Montana","Black","Females","0","4,688","0","0","0"
"2020","Montana","American Indian / Alaska Native","Males","13","38,653","33.63","39.08","366"
"2020","Montana","American Indian / Alaska Native","Females","12","39,463","30.41","36.11","445"
"2020","Montana","Asian / Pacific Islander","Males","0","5,753","0","0","0"
"2020","Montana","Asian / Pacific Islander","Females","0","7,543","0","0","0"
"2020","Nebraska","White","Males","112","860,463","13.02","12.97","3,810"
"2020","Nebraska","White","Females","77","864,929","8.90","9.10","2,272"
"2020","Nebraska","Black","Males","14","60,836","23.01","24.46","548"
"2020","Nebraska","Black","Females","0","57,293","0","0","0"
"2020","Nebraska","American Indian / Alaska Native","Males","0","16,985","0","0","0"
"2020","Nebraska","American Indian / Alaska Native","Females","0","16,904","0","0","0"
"2020","Nebraska","Asian / Pacific Islander","Males","0","29,529","0","0","0"
"2020","Nebraska","Asian / Pacific Islander","Females","0","30,613","0","0","0"
"2020","Nevada","White","Males","449","1,203,517","37.31","36.34","14,873"
"2020","Nevada","White","Females","226","1,164,189","19.41","18.89","6,471"
"2020","Nevada","Black","Males","78","182,485","42.74","43.87","2,433"
"2020","Nevada","Black","Females","42","186,327","22.54","23.16","1,264"
"2020","Nevada","American Indian / Alaska Native","Males","0","30,999","0","0","0"
"2020","Nevada","American Indian / Alaska Native","Females","0","31,402","0","0","0"
"2020","Nevada","Asian / Pacific Islander","Males","21","155,639","13.49","13.16","811"
"2020","Nevada","Asian / Pacific Islander","Females","0","183,701","0","0","0"
"2020","New Hampshire","White","Males","266","635,439","41.86","44.63","8,763"
"2020","New Hampshire","White","Females","116","649,581","17.86","18.81","3,771"
"2020","New Hampshire","Black","Males","0","17,028","0","0","0"
"2020","New Hampshire","Black","Females","0","13,668","0","0","0"
"2020","New Hampshire","American Indian / Alaska Native","Males","0","2,860","0","0","0"
"2020","New Hampshire","American Indian / Alaska Native","Females","0","2,547","0","0","0"
"2020","New Hampshire","Asian / Pacific Islander","Males","0","21,667","0","0","0"
"2020","New Hampshire","Asian / Pacific Islander","Females","0","23,485","0","0","0"
"2020","New Jersey","White","Males","1,589","3,164,788","50.21","52.37","53,242"
"2020","New Jersey","White","Females","578","3,275,631","17.65","18.37","17,936"
"2020","New Jersey","Black","Males","465","678,583","68.53","66.34","12,066"
"2020","New Jersey","Black","Females","165","743,333","22.20","20.82","4,666"
"2020","New Jersey","American Indian / Alaska Native","Males","0","35,641","0","0","0"
"2020","New Jersey","American Indian / Alaska Native","Females","0","34,271","0","0","0"
"2020","New Jersey","Asian / Pacific Islander","Males","32","464,037","6.90","6.59","1,249"
"2020","New Jersey","Asian / Pacific Islander","Females","0","486,087","0","0","0"
"2020","New Mexico","White","Males","459","863,411","53.16","55.00","14,970"
"2020","New Mexico","White","Females","214","880,149","24.31","26.63","6,895"
"2020","New Mexico","Black","Males","29","37,295","77.76","85.74","939"
"2020","New Mexico","Black","Females","10","31,282","31.97","31.48","318"
"2020","New Mexico","American Indian / Alaska Native","Males","43","119,538","35.97","38.06","1,625"
"2020","New Mexico","American Indian / Alaska Native","Females","22","126,623","17.37","18.25","711"
"2020","New Mexico","Asian / Pacific Islander","Males","0","22,215","0","0","0"
"2020","New Mexico","Asian / Pacific Islander","Females","0","25,806","0","0","0"
"2020","New York","White","Males","2,768","6,683,868","41.41","41.58","90,032"
"2020","New York","White","Females","1,046","6,936,101","15.08","15.66","33,113"
"2020","New York","Black","Males","751","1,692,994","44.36","42.27","19,065"
"2020","New York","Black","Females","306","1,911,603","16.01","14.89","8,436"
"2020","New York","American Indian / Alaska Native","Males","11","114,546","9.60","9.63","382"
"2020","New York","American Indian / Alaska Native","Females","0","115,753","0","0","0"
"2020","New York","Asian / Pacific Islander","Males","63","899,089","7.01","6.71","2,476"
"2020","New York","Asian / Pacific Islander","Females","14","982,822","1.42","1.42","489"
"2020","North Carolina","White","Males","1,631","3,722,310","43.82","45.93","57,208"
"2020","North Carolina","White","Females","785","3,853,251","20.37","21.66","25,713"
"2020","North Carolina","Black","Males","449","1,150,605","39.02","40.64","14,606"
"2020","North Carolina","Black","Females","165","1,303,256","12.66","12.79","5,695"
"2020","North Carolina","American Indian / Alaska Native","Males","65","88,808","73.19","74.84","2,503"
"2020","North Carolina","American Indian / Alaska Native","Females","35","91,430","38.28","41.21","1,379"
"2020","North Carolina","Asian / Pacific Islander","Males","10","190,859","5.24","5.25","387"
"2020","North Carolina","Asian / Pacific Islander","Females","0","200,304","0","0","0"
"2020","North Dakota","White","Males","53","344,211","15.40","15.29","2,112"
"2020","North Dakota","White","Females","26","329,413","7.89","8.87","967"
"2020","North Dakota","Black","Males","0","17,170","0","0","0"
"2020","North Dakota","Black","Females","0","13,325","0","0","0"
"2020","North Dakota","American Indian / Alaska Native","Males","20","22,894","87.36","87.51","842"
"2020","North Dakota","American Indian / Alaska Native","Females","0","23,345","0","0","0"
"2020","North Dakota","Asian / Pacific Islander","Males","0","7,540","0","0","0"
"2020","North Dakota","Asian / Pacific Islander","Females","0","7,411","0","0","0"
"2020","Ohio","White","Males","2,885","4,748,644","60.75","64.69","97,142"
"2020","Ohio","White","Females","1,417","4,904,537","28.89","31.59","47,222"
"2020","Ohio","Black","Males","607","797,862","76.08","80.99","18,831"
"2020","Ohio","Black","Females","263","860,456","30.57","32.76","8,702"
"2020","Ohio","American Indian / Alaska Native","Males","0","22,583","0","0","0"
"2020","Ohio","American Indian / Alaska Native","Females","0","22,844","0","0","0"
"2020","Ohio","Asian / Pacific Islander","Males","21","163,572","12.84","11.67","814"
"2020","Ohio","Asian / Pacific Islander","Females","0","172,719","0","0","0"
"2020","Oklahoma","White","Males","359","1,516,568","23.67","23.27","10,202"
"2020","Oklahoma","White","Females","211","1,547,116","13.64","13.61","6,002"
"2020","Oklahoma","Black","Males","53","181,673","29.17","32.79","1,581"
"2020","Oklahoma","Black","Females","39","179,848","21.69","22.59","1,338"
"2020","Oklahoma","American Indian / Alaska Native","Males","59","217,292","27.15","30.21","2,099"
"2020","Oklahoma","American Indian / Alaska Native","Females","35","222,651","15.72","17.70","1,214"
"2020","Oklahoma","Asian / Pacific Islander","Males","0","55,648","0","0","0"
"2020","Oklahoma","Asian / Pacific Islander","Females","0","59,987","0","0","0"
"2020","Oregon","White","Males","487","1,865,007","26.11","25.59","15,600"
"2020","Oregon","White","Females","248","1,897,468","13.07","13.18","7,470"
"2020","Oregon","Black","Males","21","67,579","31.08","33.21","611"
"2020","Oregon","Black","Females","12","58,411","20.54","25.19","277"
"2020","Oregon","American Indian / Alaska Native","Males","14","48,863","28.65","31.77","375"
"2020","Oregon","American Indian / Alaska Native","Females","10","47,714","20.96","23.09","312"
"2020","Oregon","Asian / Pacific Islander","Males","0","121,012","0","0","0"
"2020","Oregon","Asian / Pacific Islander","Females","0","135,453","0","0","0"
"2020","Pennsylvania","White","Males","2,837","5,174,307","54.83","57.93","94,426"
"2020","Pennsylvania","White","Females","1,296","5,356,270","24.20","26.62","42,146"
"2020","Pennsylvania","Black","Males","693","804,302","86.16","90.67","19,737"
"2020","Pennsylvania","Black","Females","295","856,231","34.45","35.94","9,317"
"2020","Pennsylvania","American Indian / Alaska Native","Males","0","31,277","0","0","0"
"2020","Pennsylvania","American Indian / Alaska Native","Females","0","31,321","0","0","0"
"2020","Pennsylvania","Asian / Pacific Islander","Males","25","257,156","9.72","9.47","863"
"2020","Pennsylvania","Asian / Pacific Islander","Females","10","272,390","3.67","3.46","324"
"2020","Rhode Island","White","Males","260","435,032","59.77","60.37","8,311"
"2020","Rhode Island","White","Females","96","460,740","20.84","22.10","3,032"
"2020","Rhode Island","Black","Males","28","51,910","53.94","55.27","792"
"2020","Rhode Island","Black","Females","0","52,301","0","0","0"
"2020","Rhode Island","American Indian / Alaska Native","Males","0","6,643","0","0","0"
"2020","Rhode Island","American Indian / Alaska Native","Females","0","6,776","0","0","0"
"2020","Rhode Island","Asian / Pacific Islander","Males","0","21,107","0","0","0"
"2020","Rhode Island","Asian / Pacific Islander","Females","0","22,616","0","0","0"
"2020","South Carolina","White","Males","928","1,780,350","52.13","55.87","31,235"
"2020","South Carolina","White","Females","490","1,851,057","26.47","27.24","14,907"
"2020","South Carolina","Black","Males","221","672,741","32.85","34.20","7,085"
"2020","South Carolina","Black","Females","80","768,768","10.41","10.60","2,573"
"2020","South Carolina","American Indian / Alaska Native","Males","0","16,369","0","0","0"
"2020","South Carolina","American Indian / Alaska Native","Females","0","15,615","0","0","0"
"2020","South Carolina","Asian / Pacific Islander","Males","0","53,952","0","0","0"
"2020","South Carolina","Asian / Pacific Islander","Females","0","59,188","0","0","0"
"2020","South Dakota","White","Males","36","385,107","9.35","9.80","1,202"
"2020","South Dakota","White","Females","21","378,878","5.54","6.46","679"
"2020","South Dakota","Black","Males","0","15,150","0","0","0"
"2020","South Dakota","Black","Females","0","11,215","0","0","0"
"2020","South Dakota","American Indian / Alaska Native","Males","12","42,274","28.39","32.10","534"
"2020","South Dakota","American Indian / Alaska Native","Females","10","43,147","23.18","31.06","305"
"2020","South Dakota","Asian / Pacific Islander","Males","0","8,128","0","0","0"
"2020","South Dakota","Asian / Pacific Islander","Females","0","8,818","0","0","0"
"2020","Tennessee","White","Males","1,607","2,687,668","59.79","62.26","53,101"
"2020","Tennessee","White","Females","856","2,787,517","30.71","31.74","27,007"
"2020","Tennessee","Black","Males","380","576,613","65.90","70.31","12,839"
"2020","Tennessee","Black","Females","172","642,624","26.77","27.36","6,127"
"2020","Tennessee","American Indian / Alaska Native","Males","0","19,090","0","0","0"
"2020","Tennessee","American Indian / Alaska Native","Females","0","17,469","0","0","0"
"2020","Tennessee","Asian / Pacific Islander","Males","12","74,649","16.08","15.21","468"
"2020","Tennessee","Asian / Pacific Islander","Females","0","81,204","0","0","0"
"2020","Texas","White","Males","2,328","11,635,326","20.01","19.93","78,787"
"2020","Texas","White","Females","1,036","11,679,553","8.87","8.95","31,999"
"2020","Texas","Black","Males","490","1,931,175","25.37","25.59","14,574"
"2020","Texas","Black","Females","232","2,052,969","11.30","11.13","7,074"
"2020","Texas","American Indian / Alaska Native","Males","0","174,078","0","0","0"
"2020","Texas","American Indian / Alaska Native","Females","0","165,926","0","0","0"
"2020","Texas","Asian / Pacific Islander","Males","57","840,472","6.78","6.50","2,185"
"2020","Texas","Asian / Pacific Islander","Females","13","881,260","1.48","1.53","445"
"2020","Utah","White","Males","353","1,505,444","23.45","25.00","11,690"
"2020","Utah","White","Females","234","1,484,339","15.77","17.25","6,905"
"2020","Utah","Black","Males","13","34,762","37.40","52.71","417"
"2020","Utah","Black","Females","0","27,897","0","0","0"
"2020","Utah","American Indian / Alaska Native","Males","0","28,768","0","0","0"
"2020","Utah","American Indian / Alaska Native","Females","0","28,725","0","0","0"
"2020","Utah","Asian / Pacific Islander","Males","0","68,766","0","0","0"
"2020","Utah","Asian / Pacific Islander","Females","0","71,178","0","0","0"
"2020","Vermont","White","Males","126","293,685","42.90","46.22","4,103"
"2020","Vermont","White","Females","61","301,279","20.25","21.88","1,902"
"2020","Vermont","Black","Males","0","6,585","0","0","0"
"2020","Vermont","Black","Females","0","5,093","0","0","0"
"2020","Vermont","American Indian / Alaska Native","Males","0","1,631","0","0","0"
"2020","Vermont","American Indian / Alaska Native","Females","0","1,588","0","0","0"
"2020","Vermont","Asian / Pacific Islander","Males","0","6,091","0","0","0"
"2020","Vermont","Asian / Pacific Islander","Females","0","7,395","0","0","0"
"2020","Virginia","White","Males","1,069","3,012,115","35.49","36.55","36,929"
"2020","Virginia","White","Females","554","3,051,551","18.16","18.71","17,774"
"2020","Virginia","Black","Males","420","867,332","48.42","49.43","13,457"
"2020","Virginia","Black","Females","157","934,163","16.81","16.68","5,120"
"2020","Virginia","American Indian / Alaska Native","Males","0","27,938","0","0","0"
"2020","Virginia","American Indian / Alaska Native","Females","0","26,102","0","0","0"
"2020","Virginia","Asian / Pacific Islander","Males","21","320,146","6.56","6.25","792"
"2020","Virginia","Asian / Pacific Islander","Females","0","351,216","0","0","0"
"2020","Washington","White","Males","967","3,104,455","31.15","30.28","31,504"
"2020","Washington","White","Females","466","3,085,850","15.10","14.67","12,724"
"2020","Washington","Black","Males","107","230,831","46.35","44.96","3,602"
"2020","Washington","Black","Females","41","199,294","20.57","23.44","1,242"
"2020","Washington","American Indian / Alaska Native","Males","60","90,289","66.45","71.58","2,015"
